Index,Id,Name,Level,Rarity,Type,Class,Tag1,Tag2,Tag3,Description,Price,IconId,SpriteId,Meta
0,WarriorHelmet_Common,워리어 헬멧,1,0,3,,,,,,10,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
1,WarriorHelmet_Rare,워리어 헬멧,1,1,3,,,,,,100,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
2,WarriorHelmet_Epic,워리어 헬멧,6,2,3,,,,,,200,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
3,WarriorHelmet_Legendary,워리어 헬멧,6,3,3,,,,,,300,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
4,WarriorArmor_Common,워리어 갑옷,1,0,2,,,,,,10,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
5,WarriorArmor_Rare,워리어 갑옷,1,1,2,,,,,,100,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
6,WarriorArmor_Epic,워리어 갑옷,6,2,2,,,,,,200,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
7,WarriorArmor_Legendary,워리어 갑옷,6,3,2,,,,,,300,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
8,WarriorLeggings_Common,워리어 각반,1,0,9,,,,,,10,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
9,WarriorLeggings_Rare,워리어 각반,1,1,9,,,,,,100,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
10,WarriorLeggings_Epic,워리어 각반,6,2,9,,,,,,200,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
11,WarriorLeggings_Legendary,워리어 각반,6,3,9,,,,,,300,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
12,WarriorSword_Common,워리어 소워드,1,0,0,,,,,,10,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
13,WarriorSword_Rare,워리어 소워드,1,1,0,,,,,,100,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
14,WarriorSword_Epic,워리어 소워드,6,2,0,,,,,,200,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
15,WarriorSword_Legendary,워리어 소워드,6,3,0,,,,,,300,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
16,ChampionHelmet_Common,챔피언 헬멧,11,0,3,,,,,,20,FantasyHeroes.Basic.Helmet.ChampionArmor,FantasyHeroes.Basic.Helmet.ChampionArmor,
17,ChampionHelmet_Rare,챔피언 헬멧,11,1,3,,,,,,200,FantasyHeroes.Basic.Helmet.ChampionArmor,FantasyHeroes.Basic.Helmet.ChampionArmor,
18,ChampionHelmet_Epic,챔피언 헬멧,16,2,3,,,,,,400,FantasyHeroes.Basic.Helmet.ChampionArmor,FantasyHeroes.Basic.Helmet.ChampionArmor,
19,ChampionHelmet_Legendary,챔피언 헬멧,16,3,3,,,,,,600,FantasyHeroes.Basic.Helmet.ChampionArmor,FantasyHeroes.Basic.Helmet.ChampionArmor,
20,ChampionArmor_Common,챔피언 갑옷,11,0,2,,,,,,20,FantasyHeroes.Basic.Armor.ChampionArmor,FantasyHeroes.Basic.Armor.ChampionArmor,
21,ChampionArmor_Rare,챔피언 갑옷,11,1,2,,,,,,200,FantasyHeroes.Basic.Armor.ChampionArmor,FantasyHeroes.Basic.Armor.ChampionArmor,
22,ChampionArmor_Epic,챔피언 갑옷,16,2,2,,,,,,400,FantasyHeroes.Basic.Armor.ChampionArmor,FantasyHeroes.Basic.Armor.ChampionArmor,
23,ChampionArmor_Legendary,챔피언 갑옷,16,3,2,,,,,,600,FantasyHeroes.Basic.Armor.ChampionArmor,FantasyHeroes.Basic.Armor.ChampionArmor,
24,ChampionLeggings_Common,챔피언 각반,11,0,9,,,,,,20,FantasyHeroes.Basic.Leggings.ChampionArmor,FantasyHeroes.Basic.Leggings.ChampionArmor,
25,ChampionLeggings_Rare,챔피언 각반,11,1,9,,,,,,200,FantasyHeroes.Basic.Leggings.ChampionArmor,FantasyHeroes.Basic.Leggings.ChampionArmor,
